反照率 Albedo
相交距离乘数 InteresectDistanceMult
调色板渐变最大值 PaletteGradMax
全息球体 HologramSphere
SV细分因子 SvTessfactor
世界覆盖法线混合 WorldOverlayNormalBlend
绒毛颜色 FuzzColor
纹理颜色粗糙度 TexColorRoughness
场景覆盖量左侧 ScenarioOverlayAmountLeft
全局雨量 GlobalRainAmount
纹理渐变贴图 TexGradientTexture
粒子高度边缘 PlxHeightEdges
采样顶点法线贴图 SampVertexNormalMap
纹理披风查找表 TexCapeLut
天气效果颜色插值 WeatherEffectColorLerp
风化覆盖厚度 WeatheringCoverageThickness
纹理反射贴图 TexReflectionMap
玻璃粗糙度 GlassRoughness
噪声菲涅尔指数 NoiseFresnelExp
纹理三平面细节反照率 TexTriplanarDetailAlbedo
纹理小地图次表面颜色 TexMinimapSubsurfaceColor
纹理布料细节法线 TexClothDetailNormal
采样柏林噪声 SampPerlinNoise
广告牌最终距离 BillboardFinalDistance
纹理贴图灰度图 TexTextureGrayscaleMap
采样基底低地 SampBasemapLowlands
采样地形 SampleTerrain
纹理前房高度图 TexAnteriorChamberHeightmap
场景覆盖颜色 ScenarioOverlayColor
两端淡出 FadeBothEnds
起始辉光量 StartGlowAmount
使用淡出起始 UseFadeStart
程序化遮罩 ProceduralMask
RockaA调色板 RockaAPalette
Gkxnwy Gkxnwy
使用距离缩放 UseDistanceScale
纹理不透明度最小值 TextureOpacityMin
不透明 IsOpaque
污垢平铺 GrungeTile
虫胶权重负值 BugGunkWeightsNegative
纹理反照率混合贴图 TexAlbedoBlendTex
采样纹理RGBA贴图 SampTextureRgbaMap
频率速度 FrequencySpeed
G速度 GSpeed
屏幕空间效果缩放模式 ScreenSpaceEffectScaleMode
偏移乘数结束 OffsetMultEnd
椭圆遮罩 EllipseMask
CS阴影图集大小 CsShadowAtlasSize
添加圆形法线 AddRoundNrm
遮罩速度 MaskSpeed
金属包含打包布料遮罩 MetalContainsPackedFabricMask
输出法线 OutNormal
相乘 Multiply
皮肤权重覆盖 SkinWeightOverrides
能量指数距离 EnergyExpDistance
次表面强度 SubusrafaceIntensity
采样扫描纹理 SampSweepTexture
距离缩放偏移 DistScaleOffset
雾后向散射相位 FogBackscatterPhase
边缘强度 RimIntensity
采样风矢量场 SampWindVectorField
采样生成高度图属性 SampGeneratedHeightmapProperties
焦散距离 CausticsDistance
场景覆盖量上方 ScenarioOverlayAmountUp
采样波纹平铺器 SampRipplesTiler
瞳孔大小 PupilSize
圆索引 CircleIndices
逆视图 InvView
玻璃色调 GlassTint
纹理扭曲贴图 TexDistortionTex
速度线乘数 SpeedLinesMult
准星不透明度 ReticleOpacity
纹理伤口法线 TexWoundNormal
纹理闪烁贴图 TexFlickerTex
使用主UV UseMainUvs
采样雾团块纹理 SampFogVolumeBlobTexture
正弦颜色量 SineColorAmount
使用粗糙度贴图 UseRoughnessMap
粗糙度值 RoughnessVal
采样遮罩纹理 SampMasktexture
主材质反照率逆比例 PrimaryMaterialAlbedoInvScale
下拉选择外部贴图不透明度 DropSelectOutsideMapOpacity
噪声速度 NoiseSpeed
雪闪光强度 SnowGlintIntensity
底部量 BottomAmount
巩膜次表面强度 ScleraSssIntensity
采样灰度皮肤 SampGrayscaleSkin
平移速度 PanSpeed
手动ID ManualId
宽基底 WideBase
波浪大小 WaveSize
垂直翻转 FlipV
使用淡出硬度 UseFadeHarshness
纹理小地图基础颜色 TexMinimapBaseColor
最小距离淡出 MinDistFade
基础颜色为自发光 BaseColorIsEmissive
雾后向散射插值 FogBackscatterLerp
UV渐变指数 UvGradientExp
纹理背景贴图 TexBgtexture
内部辉光强度 InnerGlowIntensity
透明覆盖 ImpTransparentOverride
采样调查二维码 SampSurveyQrCode
场景遮罩右侧高度 ScenarioMaskRightHeight
静脉大小 VeinsSize
太阳方向 SunDirection
正弦顶点偏移 SineVertexOffset
亮度指数 LuminosityExp
混凝土平铺 ConcreteTiling
纹理生成高度图 TexGeneratedHeightmap
不透明度指数底部 OpacityExpBottom
纹理侵蚀贴图 TexErodeMap
UV收缩最小值 UvPinchMin
距离偏移 DistOffset
噪声正弦速度 NoiseSineSpeed
世界覆盖粗糙度 WorldOverlayRoughness
泥泞湿度 MudWetness
粗糙度表面 RoughnessSurface
平移侵蚀 PanErode
是陨石 IsMeteorite
镜头自发光颜色 LensEmissiveColor
最小阈值 MinThreshold
污垢比例 DirtScale
血液权重正值 BloodWeightsPositive
临时自发光重映射范围 TemporaryEmissiveRemapRange
硬Alpha淡出 HarshAlphaFade
采样高度图高地 SampHeightmapHighlands
纹理磨损 TexWear
准星偏移 ReticuleOffset
平滑步长柔软度 SmoothstepSoftness
速度线平铺 SpeedLinesTile
CS激活 CsActive
眼睛颜色 EyeColor
采样UI视频贴图Y SampUiVideoTextureY
颜色乘数最大值 ColorMultMax
遮罩半径 MaskRadius
不可见 Invisible
反转偏移贴图 InvertOffsetTex
主颜色变化蓝色通道 PrimaryColorVariationBlueChannel
局部空间方向 LocalspaceDirection
添加自发光 AddEmissiveness
纹理数据纹理 TexDataTexture
采样侵蚀贴图 SampErodeMap
大气通用 CAtmosphereCommon
使用乘非加 UseMultNotAdd
自发光UV方向 EmissiveUvdirection
血液遮罩右侧不透明度 BloodMaskRightOpacity
纹理黑洞查找表 TexBlackHoleLut
锥角大小指数 ConeAngleSizeExponent
太阳颜色 SunCol
动画 Animated
红外菲涅尔 IrFresnel
调色板渐变最小值 PaletteGradMin
边缘遮罩最小值 EdgeMaskMin
不透明度核心 OpacityCore
输出绒毛颜色 OutFuzzColor
结束颜色 EndColor
边缘淡出色调 EdgeFadeTint
血液覆盖量上方 BloodOverlayAmountUp
时间全局乘数 TimeGlobalMult
太阳阴影启用 SunShadowsEnabled
纹理隐形噪声 TexCloakingNoise
SV目标 SvTarget
场景覆盖金属度 ScenarioOverlayMetallic
采样侵蚀纹理 SampErodeTexture
采样大陆查找表 SampContinentsLut
纹理ID遮罩数组 TexIdMasksArray
使用资产分级 UseAssetGrading
纹理MRE TexMre
曲率 Curvature
场景遮罩向后高度 ScenarioMaskBackwardHeight
烟雾颜色次要 SmokeColorSecondary
泥泞覆盖逆比例 MudOverlayInvScale
法线强度 NormalStrenght
高度羽化 HeightFeathering
内部半径 InteriorRadius
纹理复合数组 TexCompositeArray
Shexli Shexli
自发光颜色对比度 EmissiveColorContrast
枢轴偏移 PivotOffset
采样距离贴图 SampDistTex
波浪时间偏移 WaveTimingOffset
虹膜大小 IrisSize
CSpeedtree CSpeedtree
警报闪烁率 AlertFlashRate
纹理高度噪声 TexHeightNoise
采样位移贴图 SampDisplacementTex
Far最大值 Farmax
镜头遮挡启用 LensOcclusionEnabled
变暗最小值 DarkenMin
浊度 Turbidity
采样调色板查找表 SampPaletteLut
内部辉光颜色 InnerGlowColor
纹理纹理RGBA贴图 TexTextureRgbaMap
色调映射B TonemapB
纹理生成水替换查找 TexGeneratedWaterReplaceLookup
相机最后视图 CameraLastView
采样法线贴图带Alpha SampNormalMapWithAlpha
纹理镜面BRDF查找表 TexSpecularBrdfLut
覆盖混合 OverlayBlend
采样地形混合数据 SampTerrainBlendingData
输出基础颜色 OutBaseColor
护盾命中 ShieldHits
纹理输入图像 TexInputImage
主颜色变化金属度混合 PrimaryColorVariationMetallicBlend
径向UV量 RadialUvAmount
菲涅尔功率 FresnelPower
采样纹理贴图 SampTextureMap
清漆顶点法线混合 ClearcoatVertNormBlend
反照率强度岩石 AlbedoIntensityRock
场景覆盖逆比例 ScenarioOverlayInvScale
湿度最小不透明度 WetnessMinOpacity
纹理痛苦 TexDistress
采样小地图金属度次表面粗糙度镜面 SampMinimapMetallicSubsurfaceRoughnessSpecular
瑞利贝塔 RayleighBeta
ImpTile缓冲区 ImpTileBuffer
次表面包裹 SubusrafaceWrap
纹理偏移纹理 TexOffsetTexture
能量扭曲线速度 EnergyDistortionLinesSpeed
采样噪声数组 SampNoiseArray
距离缩放最大值 DistScaleMax
自发光强度 EmissiveIntensity
垂直滚动速度 ScrollSpeedV
侵蚀最小值 ErodeMin
采样纹理查找表 SampTextureLut
时间速度 TimeSpeed
风化污垢颜色 WeatheringDirtColor
混合索引 Blendindices
采样黑洞噪声 SampBlackHoleNoise
雾过渡环境颜色增强 FogAmbientDuringTransitionColorBoost
纹理主颜色变化法线MR TexPrimaryColorVariationNormalMr
采样平整查找 SampFlatteningLookup
采样小地图高度图 SampMinimapHeightmap
最小乘数 MinMult
采样填充纹理 SampFillTexture
翻转生命周期 FlipLifetime
正弦外部宽度 SinusOuterWidth
边缘功率 RimPower
纹理混凝土采样器 TexConcreteSampler
下拉选择网格AO强度 DropSelectGridAoIntensity
采样玩家卡纹理 SampPlayercardTexture
采样CCTV源 SampCctvFeed
固定距离缩放 FixDistScale
顶部量 TopAmount
纹理黑洞噪声 TexBhNoise
采样雪遮罩纹理 SampSnowMaskTexture
风选项 WindOptions
光颜色 LightColor
相机近远 CameraNearFar
最大距离缩放 ScaleMaxDistance
Shexpm Shexpm
起始辉光最大值 StartGlowMax
摆动强度 WobbleStr
全息淡出功率 HologramFadePower
B是Alpha BIsAlpha
外部半径 OutsideRadius
镜面强度 SpecIntensity
跳跃高度 JumpHeight
纹理反照率 TexAlbedo
纹理风化反照率 TexWeatheringAlbedo
纹理损伤平铺数据 TexDamageTilerData
C广告牌 Cbillboard
风强度 Windintensity
采样自发光包 SampEmissivePack
使用滚动不透明度 UseScrollingOpacity
最小比例 Minscale
镜面粗糙覆盖 SpecRoughOverrider
采样全局漫反射贴图 SampGlobalDiffuseMap
徽章索引 BadgeIndex
扭曲图集 DistortionAtlas
纹理遮罩图集贴图 TexMaskAtlasTex
摆动频率 WobbleFreq
采样烟雾包 SampSmokePack
纹理UI镜面立方体贴图 TexUiSpecularCubemap
纹理遮罩 TexMask
采样局部灯光阴影图集 SampLocalLightsShadowAtlas
纹理气态巨星查找表 TexGasGiantLookup
采样偏移噪声 SampOffsetNoise
纹理UI视频贴图R TexUiVideoTextureR
纹理Nar TexNar
亮度指数 LumExp
未钳制距离缩放 UnclampedDistScale
纹理SDF TexSdf
Shexxd Shexxd
内部衰减 InteriorFalloff
纹理地形踩踏 TexTerrainTrample
纹理材质平铺器 TexMaterialTiler
位掩码切换启用 BitmaskToggleEnabled
颜色渐变截止 ColorGradCutoff
雪闪光粗糙度 SnowGlintRoughness
亮度最大值 LuminosityMax
视差高度 ParallaxHeight
斐波那契法线查找表 FibonacciNormalLut
使用角度淡出 UseAnglefade
场景遮罩左侧不透明度 ScenarioMaskLeftOpacity
无纹理清漆粗糙度 ClearcoatRoughnessTextureless
采样磨损遮罩 SampWearMask
C风 CWind
带状大小偏移 RibbonSizeOffset
光代理缩放 LightProxyScale
翻页起始时间偏移 FlipbookStartTimeOffset
光聚光角度结束 LightSpotAngleEnd
后期Alpha乘数 LateAlphaMult
纹理自发光查找表 TexLutEmissive
相机视图 CameraView
调试LOD DebugLod
雨颜色 RainColor
纹理金属度贴图 TexMetallicMap
上下 UpDown
翻页起始时间 FlipbookStartTime
采样纹理灰度图 SampTextureGrayscaleMap
Shexpx Shexpx
下拉选择网格辉光曲线 DropSelectGridGlowCurve
菲涅尔强度 FresnelInt
远淡出距离 FarFadeDistance
纹理大气散射透射率 TexAtmosphericScatteringTransmittance
采样Nar SampNar
采样基底高地 SampBasemapHighlands
雨方向 RainDirection
UV收缩指数 UvPinchExp
纹理法线贴图带Alpha TexNormalMapWithAlpha
基础粗糙度 BaseRoughness
淡出平滑步长最小值 FadeSmoothstepMin
大气光方向 AtmosphereLightDirection
纹理镜面虹彩强度虹彩厚度图 TexSpecIriIntensityIriThicknessMap
泥泞覆盖高度遮罩淡出 MudOverlayHeightMaskFade
虹彩强度 IridescenceIntensity
下拉选择NR线 DropSelectNrLines
采样道路数据条 SampRoadDataStrip
纹理伤口导数 TexWoundDerivative
侵蚀平铺 ErodeTile
纹理磨损MRA TexWearMra
全息位置 HologramPosition
深度菲涅尔 DepthFresnel
遮罩量 MaskAmount
世界覆盖颜色 WorldOverlayColor
踩踏足迹MIP模糊 TrampleFootstepMipBlur
下拉选择网格AO宽度 DropSelectGridAoWidth
纹理高度图低地 TexHeightmapLowlands
采样遮罩 SampMask
R速度 RSpeed
近比例 NearScale
采样线性深度 SampLinearDepth
跟踪速度 TrackSpeed
Rhmxql Rhmxql
耀斑灯区域 FlareLampArea
S位置 SPosition
场景遮罩向前不透明度 ScenarioMaskForwardOpacity
相机朝向矩阵 CameraFacingMatrix
内部最小值 InteriorMin
距离缩放 DistanceScale
三平面遮罩锐化 TriplanarMaskSharpen
全息无淡出距离 HologramNoFadeDistance
采样反照率贴图 SampAlbedoTex
B速度 BSpeed
采样复合数组 SampCompositeArray
雾颜色 FogColor
纹理痛苦纹理 TexDistressTexture
纹理噪声纹理 TexNoiseTexture
采样月亮查找表 SampMoonLut
纹理基础颜色滚动 TexBaseColorScrolled
细节速度 DetailSpeed
漩涡量 SwirlAmount
获得烘焙阴影不透明度 GotBakedShadowOpacity
混凝土次要颜色 ConcreteSecondarycolor
纹理反照率虹彩 TexAlbedoIridescence
旋转偏移主控 ROffsetMaster
色调变化 ToneVariation
水彩插值 WaterColorLerp
陨石速度 MeteoriteSpeed
敌人存在点 EnemyPresencePoints
距离偏移 DistanceOffset
自发光控制 EmissiveControls
外部宏环境光遮蔽 OutMacroAo
纹理波纹平铺器 TexRipplesTiler
虹彩起始 IridescenceStart
全息通用光照 CHologramLightingCommon
采样BCA纹理 SampBcaTex
触手摆动偏移 TentacleWiggleOffset
顶部偏移淡出收紧 OffsetTopFadeTighten
气泡平铺 TilingBubbles
最小全局偏移 GOffsetMin
跳跃速度 JumpSpeed
近处淡出 FadeNear
噪声菲涅耳最小值 NoiseFresnelMin
UV循环 IsLoopUvs
CS集群最大深度逆最大深度 CsClusterMaxDepthInvMaxDepth
次表面散射倍增 SssMult
次表面基础 SubsurfaceBase
尖端宽度 TipWidth
纹理压平查找 TexFlatteningLookup
窗口计数宽度 WindowCountWidth
纹理法线 TexTexNormals
遮罩不透明度 MaskOpacity
低频闪烁 FlickerLow
采样反照率标志 SampAlbedoFlag
次表面边缘光 SubsurfaceRim
场景叠加量前向 ScenarioOverlayAmountForward
相机逆投影 CameraInvProjection
使用清漆贴图 UseClearcoatMap
最小重映射 MinRemap
拍打高度 FlapHeight
燃烧厚度倍增 BurnThicknessMult
图集尺寸 AtlasSize
地形混合数据纹理 TexTerrainBlendingData
淡出偏移 FadeOffset
路径梯度缩放 PathGradientScale
正弦顶点速度 SineVertexSpeed
平滑 Smooth
自发光相交距离 EmissiveIntersectDistance
屏幕视频纹理R TexScreenVideoTextureR
底部偏移淡出收紧 OffsetBottomFadeTighten
烟雾包纹理 TexSmokePack
细节法线 DetailNormal
采样清漆粗糙度AO高光 SampClearcoatRoughnessAoSpec
混合元素 MixElements
最大不透明度 MaxOpac
采样法线XYAO粗糙贴图 SampNormalXyAoRoughMap
内部倍增低 InnerMultLow
采样阻挡遮罩目标 SampBlockerMaskTarget
虹膜LUT曲线 IrisLutCurve
噪声倍增低 NoiseMultLow
切换UV空间本地空间 SwitchUvspaceLocalspace
使用金属贴图 UseMetallicMap
尾部速度 TailSpeed
下拉选择网格辉光强度 DropSelectGridGlowIntensity
采样法线高光AO SampNormalSpecularAo
混合权重 Blendweights
使用相机淡出 UseCamFade
采样生成的小地图槽 SampGeneratedMinimapSlot
增量时间 DeltaTime
循环动画 LoopingAnimation
图集纹理 TexAtlasTex
生成的小地图槽纹理 TexGeneratedMinimapSlot
生成的高度图属性高度 TexGeneratedHeightmapPropertiesHeight
采样MRAE SampMrae
菲涅耳最大值 FresnelMax
UV旋转角度 UvRotationAngle
世界叠加逆缩放 WorldOverlayInvScale
时间覆盖启用 TimeOfDayOverridesEnabled
UI视频纹理Y TexUiVideoTextureY
上下加速 SpeedUpDown
噪声频率 NoiseFreq
全息失真因子 HologramDistortionFactor
眼睛LUT纹理 TexEyeLut
下拉选择轮廓边框强度 DropSelectOutlineBorderIntensity
天气颜色插值 WeatherColorLerp
生命周期截止 CutoffOverLife
底光淡出 UnderlightFade
生成的地形反照率 TexGeneratedTerrainAlbedo
污渍遮罩纹理 TexGrungeMask
径向失真 RadialDistortion
玻璃数据纹理 TexGlassData
采样本地灯光阴影图集比较 SampLocalLightsShadowAtlasCmp
地形混合倍增器 TerrainBlendMultiplier
切线 Tangent
基础平移 BasePanning
采样地形高度遮罩 SampTerrainHeightMask
CS灯光数据大小 CsLightDataSize
基础贴图纹理 TexBaseMap
主色变化粗糙度混合 PrimaryColorVariationRoughnessBlend
采样包贴图 SampPackMap
主色变化红通道 PrimaryColorVariationRedChannel
起始颜色 ColorStart
基础数据纹理 TexBaseData
圆形遮罩衰减 RoundMaskFalloff
位置 Position
场景遮罩淡出距离 ScenarioMaskFadeDistance
金属度 Metalness
SV顶点ID SvVertexid
次表面不透明度纹理 TexSubsurfaceOpacity
基础颜色金属贴图 TexBaseColorMetalMap
大小倍增 SizeMult
使用AO UseAo
像素范围 PxRange
采样散射密度图 SampScatterDensityMap
Alpha次倍增 AlphaSubMult
粒子颜色 ParticleColor
风状态 WindState
偏移淡出平滑步最大值 OffsetFadeSmoothstepMax
翻转高光权重 FlippedSpecWeight
带状切线偏移 RibbonTangentOffset
渐入 Farmin
波浪梯度 WaveGradient
踩踏量 TrampleAmount
雪法线遮罩 SnowNormalMask
雾光污染 FogLightPollution
自发光倍增器 EmissiveMultiplier
噪声锐度 NoiseSharpness
采样蓝噪声纹理 SampBluenoiseTexture
前房法线强度 AnteriorChamberNormalIntensity
正弦不透明度量 SineOpacityAmount
采样纹理法线 SampTexNormals
菲涅耳不透明度倍增 FresnelOpacityMult
添加闪烁 AddFlicker
距离淡出指数 DistFadeExp
次色变化蓝通道 SecondaryColorVariationBlueChannel
采样生成材质 SampGeneratedMaterials
覆盖法线纹理 TexCoveringNormal
菲涅耳颜色 FresnelColor
法线纹理 TexNormal
采样气态巨星查找 SampGasGiantLookup
CS灯光索引数据大小 CsLightIndexDataSize
底光颜色 UnderlightColor
采样屏幕视频纹理Y SampScreenVideoTextureY
剪切指数 Shexpe
深度淡出 Depthfade
雪次表面强度 SnowSubsurfaceIntensity
压平纹理 TexFlattenTexture
银河形状纹理 TexGalaxyShape
敌人存在颜色不透明度 EnemyPresenceColorOpacity
图案数据纹理 TexPatternData
自发光纹理 TexEmissive
底光指数 UnderlightExp
缩放距离 ScaleDist
采样血液LUT SampBloodLut
亮度倍增 LuminocityMult
采样细节遮罩 SampDetailMask
孔隙度 Porosity
进度条 ProgressBar
小地图存在 MinimapPresence
使用背景色 UseBackColor
采样不透明度贴图 SampOpacityMap
触手摆动频率 TentacleWiggleFreq
雪粗糙度 SnowRoughness
采样梯度纹理 SampGradientTexture
风化NAR纹理 TexWeatheringNar
采样小地图次表面颜色 SampMinimapSubsurfaceColor
顶部不透明度指数 OpacityExpTop
采样滚动基础颜色 SampBaseColorScrolled
自发光开启 EmissiveOn
采样远景细节NAR SampVistaDetailNar
失真噪声 DistortionNoise
不透明度贴图纹理 TexOpacityMap
全息行星太阳颜色 HologramPlanetSunColor
正弦噪声倍增 SinNoiseMult
R频率 RFreq
柏林噪声纹理 TexPerlinNoise
大失真 DistortionLarge
图案LUT纹理 TexPatternLut
SV位置 SvPosition
表面平铺 SurfaceTiling
翻页行数 FlipbookRows
翻转菲涅耳 FlipFresnel
内半径 InnerRadius
外部次表面强度 OutSubsurfaceIntensity
AO最大值 AoMax
小地图路线纹理 TexMinimapRoutes
雪闪平铺器 TexSnowGlintsTiler
帧粗糙度 FrameRoughness
深度颜色查找纹理 TexDepthColorLookup
全息上下边界 HologramLowerUpperBounds
水面高度纹理 TexWaterHeight
包贴图纹理 TexPackMap
细节法线瓷器纹理 TexDetailNormalPorcelain
灰度通道 GreyscaleChannel
AO贴图纹理 TexAoMap
无纹理高光 SpecularTextureless
受损颜色倍增 ColorDamagedMult
耀斑噪声速度 FlareNoiseSpeed
相机逆视图 CameraInvView
水面目标纹理 TexWaterTarget
采样颜色高光B SampColorSpecularB
尾部高度 TailHeight
法线影响 NormalInfluence
带状轨迹粒子数 NumRibbonTrailParticles
动画翻页 Animateflipbook
遮罩叠加 MaskAdd
行和列 RowsAndColumns
深度距离淡出 DepthDistanceFade
距离纹理叠加 DistTexAdd
位移纹理 TexDisplacementTex
采样每区域着色器输入 SampGeneratedPerZoneShaderInput
采样银河星星 SampGalaxyStars
血液叠加颜色 BloodOverlayColor
最大距离淡出 MaxDistFade
最小粗糙度 RoughnessMin
采样自发光纹理 SampEmissiveTexture
最小亮度 LuminosityMin
混合自发光 EmissiveMixed
生成的小地图纹理 TexGeneratedMinimap
采样披风梯度 SampCapeGradient
颜色色调索引 ColorTintIndices
采样地形颜色 SampleTerrainColor
采样阴影不透明度 SampShadowOpacity
金属曲率 MetallicCuravture
最大雪覆盖率 SnowCoverageMax
采样细节纹理 SampDetailTex
顶点AO最大值 VertexAoMax
使用布料细节平铺器 UseClothDetailTiler
扫描纹理 TexSweepTex
UV噪声纹理 TexUvNoiseTex
左侧血液叠加量 BloodOverlayAmountLeft
偏移淡出量 OffsetFadeAmount
窗口计数高度 WindowCountHeight
生成的高度图F TexGeneratedHeightmapF
云起始高度 CloudStartHeight
侵蚀通道 ErodeChannel
最小颜色 ColorMin
水深色调 WaterDeepTint
采样运动向量 SampMotionVectors
CS灯光数据缓冲区 CsLightDataBuffer
法线纹理 TexNormals
轴填充 AxisPadding
次色变化红通道 SecondaryColorVariationRedChannel
血液叠加法线混合 BloodOverlayNormalBlend
采样血液平铺器 SampBloodTiler
主材质使用Alpha反照率 PrimaryMaterialUseAlphaAlbedo
损伤平铺器导数纹理 TexDamageTilerDerivatives
下拉选择网格不透明度 DropSelectGridOpacity
顶点法线贴图纹理 TexVertexNormalMap
血液法线淡出 BloodNormalFade
纹理包纹理 TexTexturePack
闪光强度 FlashIntensity
能量失真线平铺 EnergyDistortionLinesTile
采样眼睛LUT SampEyeLut
三平面细节数据纹理 TexTriplanarDetailData
跳跃指数 JumpExp
最小距离缩放 DistScaleMin
场景叠加法线混合 ScenarioOverlayNormalBlend
采样视差贴图 SampParallaxMap
边缘光指数 RimExp
受损颜色 ColorDamaged
次材质法线MR SecondaryMaterialNormalMr
距离缩放距离 DistanceScaleDistance
移动偏移 MovementOffset
自发光厚度 EmissiveThickness
视差菲涅耳 ParallaxFresnel
虹膜颜色变化 IrisColorVariation
自发光基础 EmissivenessBase
光源角尺寸 LightsourceAngularSize
前房法线纹理 TexAnteriorChamberNormal
陨石坑纹理 TexCraterTexture
飞船视频纹理R TexShipVideoTextureR
R通道Alpha RChannelAlpha
纹理遮罩 TexTexMask
枢轴位置 PivotLocation
无TAA历史强度 NoTaaHistoryIntensity
前向血液遮罩不透明度 BloodMaskForwardOpacity
法线平铺 NormalTile
视图投影 ViewProj
噪声法线纹理 TexNoiseNormal
使用不透明度贴图 UseOpacityMap
采样太阳阴影图 SampSunShadowMap
雪每区域禁用 SnowPerZoneDisabling
每对象C CPerObject
采样镜头裁剪纹理 SampLensCutoutTexture
相机投影 CameraProjection
采样遇险 SampDistress
色调映射E TonemapE
法线不透明度纹理 TexNormalOpacity
UV噪声 UvNoise
采样撕裂贴图 SampTearMap
风化污垢全局粗糙度 WeatheringDirtGlobalroughness
湿润高度 WetnessHeight
颜色 Colour
剪切X Shexxa
次表面强度最大值 SubsurfaceIntensityMax
能量失真速度 EnergyDistortionSpeed
细节最大值 DetailMax
Alpha作为密度 AlphaAsDensity
污垢贴图纹理 TexDirtMap
插值距离缩放 LerpDistScale
图案平铺 PatternTiling
无纹理虹彩厚度 IriThicknessTextureless
遮罩中心半径 MaskCenterRadius
覆盖反照率纹理 TexCoveringAlbedo
清漆粗糙度AO高光纹理 TexClearcoatRoughnessAoSpec
法线XYAO粗糙贴图纹理 TexNormalXyAoRoughMap
采样纹理图漩涡 SampTextureMapVortex
采样大气散射透射率 SampAtmosphericScatteringTransmittance
外部衰减 OutsideFalloff
灯光启用 LightEnabled
噪声不透明度 NoiseOpacity
U滚动速度 ScrollSpeedU
颜色倍增下降 ColorMultDown
扭曲强度 DistortStr
撕裂颜色 TearColor
颗粒速度 GrainSpeed
Alpha阈值 AlphaThreshold
反向深度淡出 ReverseDepthfade
轮廓颜色 OutlineColor
结束颜色 ColorEnd
凸起法线强度 BulgeNormalIntensity
采样漫反射贴图 SampDiffuseMap
世界叠加量 WorldOverlayAmount
焦痕量 ScorchMarksAmount
亮度 Brightness
全息图案纹理 TexHologramPattern
颜色高光B纹理 TexColorSpecularB
粗糙度插值 RoughnessLerp
收缩指数 PinchExp
采样全息图案 SampHologramPattern
法线强度 NormalStrength
闪亮 Shinny
不透明度指数 OpacityExp
颜色贴图纹理 TexColorMap
屏幕视频纹理B TexScreenVideoTextureB
自发光量 EmissiveAmount
生成的高度图坡度 TexGeneratedHeightmapSlope
侵蚀收紧 ErodeTigthten
采样小地图LUT SampMinimapLut
次表面颜色来自反照率 SubsurfaceColorFromalbedo
背景Alpha纹理 TexBackgroundAlpha
采样陨石坑纹理 SampCraterTexture
血液叠加逆缩放 BloodOverlayInvScale
反照率颜色曲率 AlbedoColorCuravture
右侧场景叠加量 ScenarioOverlayAmountRight
采样覆盖法线 SampCoveringNormal
偏移纹理通道 OffsetTexChannel
下拉选择叠加强度 DropSelectOverlayIntensity
色调映射C TonemapC
相交距离 InteresectDistance
最小自发光 MinEmissive
无纹理清漆强度 ClearcoatIntensityTextureless
纹理纹理 TexTex
上下文相机 ContextCamera
平移速度 PanningSpeed
灯光位置 LightPosition
场景叠加UV偏移 ScenarioOverlayUvOffset
图形数据 GraphData
翻页结束时间 FlipbookEndTime
噪声菲涅耳减法 NoiseFresnelSubtract
下方血液叠加量 BloodOverlayAmountDown
动态景深查找 DynamicDofLookup
大气光颜色 AtmosphereLightColor
风化污垢粗糙度 WeatheringDirtRoughness
雪覆盖调试 SnowCoverageDebug
最小皮下粗糙度 MinRoughnessSubdermal
撕裂法线灰度纹理 TexTearNormalsGrayscale
最大高光 MaxSpecular
调色板槽B PaletteSlotB
全息行星太阳方向 HologramPlanetSunDirection
虹彩厚度 IridescenceThickness
踩踏最小最大值 TrampleMinMax
顶点偏移量 VertexOffsetAmount
采样反照率混合 SampAlbedoBlend
距离纹理 TexDistTex
采样地形位移图 SampTerrainDisplacementMap
最大皮下粗糙度 MaxRoughnessSubdermal
噪声包纹理 TexNoisePack
远景细节NAR纹理 TexVistaDetailNar
采样水面目标 SampWaterTarget
漩涡强度 SwirlStrength
法线数组纹理 TexNormalArray
采样数据纹理 SampDataTex
生成的每区域着色器输入纹理 TexGeneratedPerZoneShaderInput
混凝土表面数据纹理 TexConcreteSurfaceData
贴花损伤 DecalDamage
前向场景遮罩高度 ScenarioMaskForwardHeight
反照率磨损纹理 TexAlbedoWear
偏移淡出平滑步最小值 OffsetFadeSmoothstepMin
是背包护盾 IsBackpackShield
椭圆遮罩形状 EllipseMaskShape
最小次表面不透明度 MinSubsurfaceOpacity
次表面细节曲线 SubsurfaceDetailCurve
镜头自发光强度 LensEmissiveIntensity
基础平铺 BaseTiling
下拉选择网格坡度不透明度倍增 DropSelectGridSlopeOpacityMult
采样细节法线瓷器 SampDetailNormalPorcelain
采样修剪贴花 SampTrimDecal
矩形索引 RectangleIndices
顶点AO最小值 VertexAoMin
大气散射颜色纹理 TexAtmosphericScatteringColor
最小高光 MinSpecular
采样扫描纹理 SampSweepTex
凸起倍数 BulgeMult
Shexhs Shexhs
百分比 Percent
外部次表面颜色 OutSubsurfaceColor
外部次表面包裹 OutSubsurfaceWrap
纹理材质LUT TexMaterialLut
混凝土基础色 ConcreteBasecolor
扭曲平移 DistortionPanning
全息行星瑞利贝塔 HologramPlanetRayleighBeta
